cases,error_cases,folded_case_rate,max_offset_m,median_known_rmse_m,median_max_offset_m,median_runtime_s,method,ok_cases,p90_max_offset_m,p95_max_offset_m,param_beam_width,param_constrained_iterations,param_constrained_known_weight,param_constrained_polish,param_final_visibility_weight,param_graph_upper_factor,param_graph_upper_sigma_m,param_graph_upper_slack_m,param_graph_upper_weight,param_hop_weight_base,param_iterations,param_known_weight,param_max_hops,param_missing_margin_m,param_missing_sigma_m,param_missing_weight,param_optimizer_seeds,param_radio_radius_m,param_relative_sigma,param_scaffold_weight,param_sdp_eps,param_sdp_max_iters,param_sdp_solver,param_seed_count,score,solver,under_1m,under_20cm,under_50cm
45,0,0.0,0.7318198268770597,0.037497192485777014,0.16644080408906797,4.370391899999959,branching_011,45,0.3268804440561448,0.4897269718213615,32,55,1.0,True,1.0,1.0,1.0,0.75,1.0,,45,,,0.0,0.75,4.0,16,8.0,,,,,,,0.6045191555313344,visibility_branching,1.0,0.6666666666666666,0.9555555555555556
45,0,0.0,0.7318198268770597,0.037497192485777014,0.16644080408906797,4.309496699999727,branching_016,45,0.3268804440561448,0.4897269718213615,32,55,1.0,True,1.0,1.0,1.0,1.0,0.35,,45,,,0.0,0.75,4.0,16,8.0,,,,,,,0.6045191555313344,visibility_branching,1.0,0.6666666666666666,0.9555555555555556
45,0,0.0,0.7318198268770597,0.037497192485777014,0.16644080408906797,4.2790380000005825,branching_018,45,0.3268804440561448,0.4897269718213615,32,55,1.0,True,1.0,1.0,0.75,0.75,0.35,,45,,,0.0,0.75,4.0,16,8.0,,,,,,,0.6045191555313344,visibility_branching,1.0,0.6666666666666666,0.9555555555555556
45,0,0.0,0.7318198268770597,0.037497192485777014,0.16644080408906797,4.354495499999757,branching_012,45,0.3268804415819221,0.4897270202191851,32,55,1.0,True,1.0,0.98,1.0,0.75,0.35,,45,,,0.0,0.75,4.0,16,8.0,,,,,,,0.604519203929158,visibility_branching,1.0,0.6666666666666666,0.9555555555555556
45,0,0.0,0.7318198268770597,0.037497192485777014,0.16644080408906797,4.339983399997436,branching_015,45,0.32688044222159074,0.4897270468471109,32,55,1.0,True,1.0,1.0,1.0,0.5,0.35,,45,,,0.0,0.75,4.0,16,8.0,,,,,,,0.6045192305570838,visibility_branching,1.0,0.6666666666666666,0.9555555555555556
45,0,0.0,0.7318198268770597,0.037497192485777014,0.16644080408906797,4.306095899999491,branching_000,45,0.3268804440561448,0.4897272103567647,32,55,1.0,True,1.0,1.0,1.0,0.75,0.35,,45,,,0.0,0.75,4.0,16,8.0,,,,,,,0.6045193940667376,visibility_branching,1.0,0.6666666666666666,0.9555555555555556
45,0,0.0,0.7318198268770597,0.037497192485777014,0.16644080408906797,4.336034700001619,branching_020,45,0.32688213566024393,0.4897272103567647,32,55,1.0,True,0.25,1.0,1.0,0.75,0.35,,45,,,0.0,0.75,4.0,16,8.0,,,,,,,0.6045193940667376,visibility_branching,1.0,0.6666666666666666,0.9555555555555556
45,0,0.0,0.7318198268770597,0.037497192485777014,0.16644080408906797,4.318838700000924,branching_021,45,0.3268804440561448,0.4897272103567647,32,55,1.0,True,4.0,1.0,1.0,0.75,0.35,,45,,,0.0,0.75,4.0,16,8.0,,,,,,,0.6045193940667376,visibility_branching,1.0,0.6666666666666666,0.9555555555555556
45,0,0.0,0.7318198268770597,0.037497192485777014,0.16644080408906797,4.313952000000427,branching_010,45,0.3268804323703387,0.48972747661529475,32,55,1.0,True,1.0,1.0,1.0,0.75,0.1,,45,,,0.0,0.75,4.0,16,8.0,,,,,,,0.6045196603252677,visibility_branching,1.0,0.6666666666666666,0.9555555555555556
45,0,0.0,0.7318198268770597,0.037497192485777014,0.16644080408906797,4.349276299999474,branching_013,45,0.3268804440561448,0.4897356556411621,32,55,1.0,True,1.0,1.04,1.0,0.75,0.35,,45,,,0.0,0.75,4.0,16,8.0,,,,,,,0.6045278393511351,visibility_branching,1.0,0.6666666666666666,0.9555555555555556
