bucket,cases,error_cases,max_offset_m,median_known_rmse_m,median_max_offset_m,median_runtime_s,method,ok_cases,p90_max_offset_m,p95_known_rmse_m,p95_max_offset_m,solver,under_10cm,under_1m,under_20cm,under_2m,under_50cm,under_5cm
grid_16_24,15,0,0.463541592488327,0.03879884518803244,0.16933944296586112,5.350851799998054,branching_015,15,0.2664328495286125,0.04911065408169543,0.33209240549162966,visibility_branching,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.463541592488327,0.03879884518803244,0.16933944296586112,5.354068299999199,branching_016,15,0.2664328495286125,0.04911065408169543,0.33209240549162966,visibility_branching,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.463541592488327,0.03879884518803244,0.16933944296586112,5.293440600002214,branching_017,15,0.2664328495286125,0.04911065408169543,0.33209240549162966,visibility_branching,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.463541592488327,0.03879884518803244,0.16933944296586112,5.333935400001792,branching_018,15,0.2664328495286125,0.04911065408169543,0.33209240549162966,visibility_branching,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.7719246228184713,0.0387988451880313,0.1695507220586186,2.276637300001312,branching_019,15,0.4454104864523876,0.049105188240942926,0.632956630251762,visibility_branching,0.0,1.0,0.8,1.0,0.8666666666666667,0.0
grid_16_24,15,0,0.4041561480381046,0.038798845188032435,0.1690958775971805,5.78055790000144,branching_020,15,0.26486937858112947,0.049124896883506235,0.3128334823846881,visibility_branching,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.5366580137129539,0.038798845188032435,0.16948855659289383,5.360373199997412,branching_021,15,0.2670717622100089,0.049106631388604216,0.35455470537482026,visibility_branching,0.0,1.0,0.8,1.0,0.9333333333333333,0.0
grid_16_24,15,0,0.3957359089944271,0.03879884518803244,0.16904485095709887,5.673304500000086,branching_022,15,0.2644837436327869,0.049129518278425544,0.3099427457776571,visibility_branching,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.41207338722434456,0.03879884518803244,0.17002155005689815,5.420643299999938,branching_023,15,0.26288114722207623,0.04913124223103473,0.31325366711061536,visibility_branching,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.5569779609661736,0.03879884518803244,0.16955089995918826,5.612609799998609,branching_024,15,0.26626063932101135,0.049105188240968684,0.3594644761037567,visibility_branching,0.0,1.0,0.8,1.0,0.9333333333333333,0.0
