anchors,bucket,case_index,graph_folded,graph_max_offset_m,ppo_better,ppo_folded,ppo_max_offset_m,ppo_minus_graph_m
30,Grid >=16,53,0,0.25074578387746704,1,0,0.25074295399324525,-2.8298842217888698e-06
23,Grid >=16,54,0,0.19931161682110798,0,0,0.19938327043112486,7.16536100168752e-05
36,Grid >=16,55,0,0.15202526296474256,1,0,0.1519824792894576,-4.278367528495752e-05
35,Grid >=16,56,0,0.24693501250241087,1,0,0.2468371754013488,-9.783710106206489e-05
20,Grid >=16,57,0,1.003431215716624,0,0,3.92262844551154,2.919197229794916
27,Grid >=16,58,0,0.2348055836599588,1,0,0.2347825512812283,-2.303237873049757e-05
17,Grid >=16,59,0,2.217182865765165,0,1,6.394467782218377,4.177284916453212
28,Grid >=16,60,0,0.2528201460537319,0,0,0.25282554404090074,5.3979871688647485e-06
24,Grid >=16,61,0,0.21905257438851028,1,0,0.21904782243429965,-4.751954210624465e-06
30,Grid >=16,62,0,0.17895145432500445,1,0,0.17894970602053695,-1.748304467502626e-06
32,Grid >=16,63,0,0.20671639801064803,0,0,0.20671974747416783,3.3494635197917066e-06
40,Grid >=16,64,0,0.22650482390497867,1,0,0.22648486054364633,-1.9963361332336893e-05
21,Grid >=16,65,0,0.16051245842551673,0,0,0.16054293511763953,3.0476692122805016e-05
33,Grid >=16,66,0,0.2625353323249789,1,0,0.26248287907060946,-5.2453254369422275e-05
36,Grid >=16,67,0,0.2277850970153977,0,0,0.22778509705053088,3.513317414771677e-11
21,Grid >=16,68,0,9.065474777566104,0,0,11.568519346456112,2.503044568890008
21,Grid >=16,69,0,0.10898292020597998,1,0,0.10895334165443996,-2.957855154002431e-05
28,Grid >=16,70,0,0.21752998777736743,1,0,0.21749365549603683,-3.633228133059774e-05
21,Grid >=16,71,0,0.23708906092625062,1,0,0.23708728242375804,-1.778502492583156e-06
25,Grid >=16,72,0,2.0046865113205676,0,0,4.555553878244795,2.550867366924227
26,Grid >=16,73,0,0.26372819827535576,1,0,0.2636361767446629,-9.202153069287622e-05
30,Grid >=16,74,0,0.13640761428665188,1,0,0.13639982270799,-7.791578661875409e-06
16,Grid >=16,75,0,0.0947433699807901,0,0,0.09475608012897385,1.2710148183756043e-05
28,Grid >=16,76,0,0.2856913268955995,0,0,0.28571086884181174,1.9541946212231487e-05
24,Grid >=16,77,0,0.19966779221727893,0,0,0.19968125535027864,1.346313299971369e-05
40,Grid >=16,78,0,0.2825269201515472,1,0,0.28251562645709766,-1.1293694449521219e-05
